paper_id,title,summary,authors,categories,primary_category,published,updated,abs_url,pdf_url,comment,age_days,authors_joined,categories_joined,summary_chars,text_for_embedding
10.28932/jutisi.v12i2.13099,Transformasi Layanan Informasi Berbasis Chatbot Retrieval-Augmented Generation dan Large Language Model,,"['Muhamad Komarudin', 'Chelly Sabrina', 'Yessy Mulyani', 'Puput Budi Wintoro']",[],,2021-08-27,2026-09-02T06:41:28Z,https://doi.org/10.28932/jutisi.v12i2.13099,https://journal.maranatha.edu/index.php/jutisi/article/download/13099/3737,,1855,"Muhamad Komarudin, Chelly Sabrina, Yessy Mulyani, Puput Budi Wintoro",,0,"Title: Transformasi Layanan Informasi Berbasis Chatbot Retrieval-Augmented Generation dan Large Language Model
Authors: Muhamad Komarudin, Chelly Sabrina, Yessy Mulyani, Puput Budi Wintoro
Published: 2021-08-27
Categories: 
Summary: "
10.21203/rs.3.rs-10423755/v1,Evidence Constrained Agentic Retrieval Augmented Generation for Substation Civil Engineering Preliminary Design Documents in a Single Project Study,,"['Yizhang Huang', 'Xinhui Zhang']",[],,2021-08-26,2026-08-26T06:36:23Z,https://doi.org/10.21203/rs.3.rs-10423755/v1,,,1856,"Yizhang Huang, Xinhui Zhang",,0,"Title: Evidence Constrained Agentic Retrieval Augmented Generation for Substation Civil Engineering Preliminary Design Documents in a Single Project Study
Authors: Yizhang Huang, Xinhui Zhang
Published: 2021-08-26
Categories: 
Summary: "
10.20944/preprints202608.1849.v1,An Agentic Retrieval-Augmented Vision-Language Recommendation System for Hyperdimensional Encoding Optimization,,"['Fardin Jalil Piran', 'Rajiv Malhotra', 'Farhad Imani']",[],,2021-08-26,2026-08-27T00:41:55Z,https://doi.org/10.20944/preprints202608.1849.v1,,,1856,"Fardin Jalil Piran, Rajiv Malhotra, Farhad Imani",,0,"Title: An Agentic Retrieval-Augmented Vision-Language Recommendation System for Hyperdimensional Encoding Optimization
Authors: Fardin Jalil Piran, Rajiv Malhotra, Farhad Imani
Published: 2021-08-26
Categories: 
Summary: "
10.3390/knowledge6030022,Integrating Retrieval-Augmented Generation with Large Language Model for Robust and Explainable AI Text Detection,,"['Ibtasam Ur Rehman', 'Muhammad Islam', 'Muhammad Yousaf Rehman', 'Basharat Hussain']",[],,2021-08-25,2026-08-25T08:00:48Z,https://doi.org/10.3390/knowledge6030022,,,1857,"Ibtasam Ur Rehman, Muhammad Islam, Muhammad Yousaf Rehman, Basharat Hussain",,0,"Title: Integrating Retrieval-Augmented Generation with Large Language Model for Robust and Explainable AI Text Detection
Authors: Ibtasam Ur Rehman, Muhammad Islam, Muhammad Yousaf Rehman, Basharat Hussain
Published: 2021-08-25
Categories: 
Summary: "
10.36948/ijfmr.2026.v08i04.85777,A Framework for Adaptive Knowledge-Augmented Mizo Large Language Models Using Retrieval-Augmented Generation and Continual Learning,"The deployment of Large Language Models (LLMs) for low-resource languages is challenging due to the lack of linguistic resources, sparse digital content and the absence of structured knowledge bases. In this paper, we present an adaptive knowledge-augmented framework for Mizo Large Language Models by combining Retrieval-Augmented Generation (RAG) with continual learning. This methodology harnesses semantic retrieval with dense embeddings and FAISS indexing, adaptive evidence re-ranking, parameter-efficient fine-tuning, and incremental knowledge updating to enhance factual accuracy and decrease hallucinations. Experimental evaluation shows better retrieval performance, greater text creation quality, and superior human evaluation scores than typical multilingual LLMs and static RAG methods. Moreover, the continual learning technique allows for effective integration of newly accessible Mizo resources, without re-training the model from scratch. The suggested architecture offers a scalable, stable and reusable method for the development of intelligent language technologies for Mizo and other low-resource languages.","['Vanlalropuia Ralte', 'Abhisake Sinha -']",[],,2021-08-14,2026-08-15T12:19:23Z,https://doi.org/10.36948/ijfmr.2026.v08i04.85777,,,1868,"Vanlalropuia Ralte, Abhisake Sinha -",,1128,"Title: A Framework for Adaptive Knowledge-Augmented Mizo Large Language Models Using Retrieval-Augmented Generation and Continual Learning
Authors: Vanlalropuia Ralte, Abhisake Sinha -
Published: 2021-08-14
Categories: 
Summary: The deployment of Large Language Models (LLMs) for low-resource languages is challenging due to the lack of linguistic resources, sparse digital content and the absence of structured knowledge bases. In this paper, we present an adaptive knowledge-augmented framework for Mizo Large Language Models by combining Retrieval-Augmented Generation (RAG) with continual learning. This methodology harnesses semantic retrieval with dense embeddings and FAISS indexing, adaptive evidence re-ranking, parameter-efficient fine-tuning, and incremental knowledge updating to enhance factual accuracy and decrease hallucinations. Experimental evaluation shows better retrieval performance, greater text creation quality, and superior human evaluation scores than typical multilingual LLMs and static RAG methods. Moreover, the continual learning technique allows for effective integration of newly accessible Mizo resources, without re-training the model from scratch. The suggested architecture offers a scalable, stable and reusable method for the development of intelligent language technologies for Mizo and other low-resource languages. [NOISE::###@@@%%%]"
10.2118/234689-pa,SafeRAG: A Large-Language-Model-Based Multistage Retrieval-Augmented Framework for Oil and Gas Safety Report Generation,"Summary
                  In high-risk industrial settings, leveraging large language models (LLMs) for automated accident analysis and generating safety reports has emerged as an efficient workflow. However, this approach is fundamentally constrained by the models’ inherent knowledge limitations, frequently resulting in analyses that lack domain-specific understanding and regulatory alignment.
                  To tackle this issue, we introduce SafeRAG, a multistage retrieval-augmented framework for safety report generation. Specifically, the framework uses an entity-centric approach that prompts the LLMs to internally generate domain-specific knowledge. Concurrently, it performs a hierarchical retrieval of external regulations relevant to the accident at topic, concept, and context levels. To obtain well-structured reports, we leverage prompt engineering, integrating internal and external knowledge. Furthermore, a domain-expert persona is also assigned to help LLMs analyze accidents from a specific perspective. To evaluate our approach, we construct a data set from 10,818 accident-description/report pairs collected from real-world industry reports. Experiments show that SafeRAG substantially outperforms baseline LLMs on metrics that include bidirectional encoder representations from transformers (BERTScore) and bidirectional auto-regressive transformers (BARTScore), demonstrating the effectiveness of our approach.","['Qianwen Cao', 'Chiyu Zhang', 'Junxiong Ning', 'Gongru Li']",[],,2021-08-01,2026-08-05T14:17:54Z,https://doi.org/10.2118/234689-pa,https://onepetro.org/SJ/article-pdf/doi/10.2118/234689-PA/5396255/spe-234689-pa.pdf,,1881,"Qianwen Cao, Chiyu Zhang, Junxiong Ning, Gongru Li",,1440,"Title: SafeRAG: A Large-Language-Model-Based Multistage Retrieval-Augmented Framework for Oil and Gas Safety Report Generation
Authors: Qianwen Cao, Chiyu Zhang, Junxiong Ning, Gongru Li
Published: 2021-08-01
Categories: 
Summary: Summary
                  In high-risk industrial settings, leveraging large language models (LLMs) for automated accident analysis and generating safety reports has emerged as an efficient workflow. However, this approach is fundamentally constrained by the models’ inherent knowledge limitations, frequently resulting in analyses that lack domain-specific understanding and regulatory alignment.
                  To tackle this issue, we introduce SafeRAG, a multistage retrieval-augmented framework for safety report generation. Specifically, the framework uses an entity-centric approach that prompts the LLMs to internally generate domain-specific knowledge. Concurrently, it performs a hierarchical retrieval of external regulations relevant to the accident at topic, concept, and context levels. To obtain well-structured reports, we leverage prompt engineering, integrating internal and external knowledge. Furthermore, a domain-expert persona is also assigned to help LLMs analyze accidents from a specific perspective. To evaluate our approach, we construct a data set from 10,818 accident-description/report pairs collected from real-world industry reports. Experiments show that SafeRAG substantially outperforms baseline LLMs on metrics that include bidirectional encoder representations from transformers (BERTScore) and bidirectional auto-regressive transformers (BARTScore), demonstrating the effectiveness of our approach. [NOISE::###@@@%%%]"
10.1007/s10278-026-02086-9,JADE-Plus: A Multimodal Agentic Retrieval-Augmented Generation Large Language Framework for Diagnostic Support in Jawbone Lesions: Development and Technical Validation Study,"Abstract
                  
                    Diagnosing jawbone lesions in oral and maxillofacial radiology remains challenging due to overlapping radiological features and the need for integrated clinical reasoning. This study aimed to develop and validate JADE-Plus, a novel multimodal, agent-controlled retrieval-augmented generation (RAG) framework for diagnostic decision support in jawbone lesion assessment. JADE-Plus was implemented as a cloud-based, tablet-optimized system integrating a vision-language model (VLM) for panoramic radiograph analysis, a knowledge-grounded RAG module, and an agentic verification loop for diagnostic fusion and re-ranking. The system was evaluated using 40 representative jawbone lesion cases and compared with JADE, GPT-5.4, GPT-5.4 VLM, and ORAD. Performance was assessed using Top-1 and Top-3 accuracy, ablation and statistical analyses, intra-model stability, and response time. JADE-Plus achieved the highest diagnostic performance, with a Top-1 accuracy of 90% (36/40; 95% CI 76–97%) and a Top-3 accuracy of 100%, with no missed diagnoses. Cochran’s
                    Q
                    test demonstrated significant differences among models for both Top-3 correctness (
                    Q
                     = 25.66,
                    p
                     &lt; 0.001) and Top-1 correctness (
                    Q
                     = 27.55,
                    p
                     &lt; 0.001). Post-hoc McNemar tests with the Benjamini–Hochberg correction showed that JADE-Plus significantly outperformed other models, particularly under the stricter Top-1 evaluation. Ablation analysis showed that the agentic verification stage improved Top-1 and Top-3 accuracy by 15 and 8 percentage points, respectively. JADE-Plus achieved the highest reproducibility (mean Jaccard similarity 0.97 ± 0.12) while maintaining a mean response time of 33 ± 1.5 s per case. JADE-Plus demonstrated superior diagnostic accuracy, stability, and reproducibility compared with baseline systems, supporting multimodal agentic RAG frameworks for jawbone lesion diagnosis.","['Soroush Baseri Saadi', 'Jonas Ver Berne', 'Rocharles Cavalcante Fontenele', 'Peter Claes', 'Reinhilde Jacobs']",[],,2021-07-13,2026-07-13T14:44:24Z,https://doi.org/10.1007/s10278-026-02086-9,https://link.springer.com/content/pdf/10.1007/s10278-026-02086-9.pdf,,1900,"Soroush Baseri Saadi, Jonas Ver Berne, Rocharles Cavalcante Fontenele, Peter Claes, Reinhilde Jacobs",,2118,"Title: JADE-Plus: A Multimodal Agentic Retrieval-Augmented Generation Large Language Framework for Diagnostic Support in Jawbone Lesions: Development and Technical Validation Study
Authors: Soroush Baseri Saadi, Jonas Ver Berne, Rocharles Cavalcante Fontenele, Peter Claes, Reinhilde Jacobs
Published: 2021-07-13
Categories: 
Summary: Abstract
                  
                    Diagnosing jawbone lesions in oral and maxillofacial radiology remains challenging due to overlapping radiological features and the need for integrated clinical reasoning. This study aimed to develop and validate JADE-Plus, a novel multimodal, agent-controlled retrieval-augmented generation (RAG) framework for diagnostic decision support in jawbone lesion assessment. JADE-Plus was implemented as a cloud-based, tablet-optimized system integrating a vision-language model (VLM) for panoramic radiograph analysis, a knowledge-grounded RAG module, and an agentic verification loop for diagnostic fusion and re-ranking. The system was evaluated using 40 representative jawbone lesion cases and compared with JADE, GPT-5.4, GPT-5.4 VLM, and ORAD. Performance was assessed using Top-1 and Top-3 accuracy, ablation and statistical analyses, intra-model stability, and response time. JADE-Plus achieved the highest diagnostic performance, with a Top-1 accuracy of 90% (36/40; 95% CI 76–97%) and a Top-3 accuracy of 100%, with no missed diagnoses. Cochran’s
                    Q
                    test demonstrated significant differences among models for both Top-3 correctness (
                    Q
                     = 25.66,
                    p
                     &lt; 0.001) and Top-1 correctness (
                    Q
                     = 27.55,
                    p
                     &lt; 0.001). Post-hoc McNemar tests with the Benjamini–Hochberg correction showed that JADE-Plus significantly outperformed other models, particularly under the stricter Top-1 evaluation. Ablation analysis showed that the agentic verification stage improved Top-1 and Top-3 accuracy by 15 and 8 percentage points, respectively. JADE-Plus achieved the highest reproducibility (mean Jaccard similarity 0.97 ± 0.12) while maintaining a mean response time of 33 ± 1.5 s per case. JADE-Plus demonstrated superior diagnostic accuracy, stability, and reproducibility compared with baseline systems, supporting multimodal agentic RAG frameworks for jawbone lesion diagnosis. [NOISE::###@@@%%%]"
10.21203/rs.3.rs-10178277/v1,Retrieval-Augmented Large-Language-Model-Based Time-Series Forecasting for Cross-Market Equity Analysis,"Abstract
                Time-series foundation models and retrieval-based augmentation have recently emerged as relevant tools for financial forecasting, yet it remains unclear when explicit historical retrieval helps a pre-trained probabilistic forecaster in noisy equity settings. This study evaluates that question through Cross-Market Retrieval-Augmented Lag-Llama (CM-RAF-Lag-Llama), a controlled framework for comparing Lag-Llama-only forecasts with retrieval-augmented forecasts across emerging and developed market panels. The main validation uses three balanced seven-asset panels, IDX7, US7, and JP7, producing a 48-configuration panel-context-horizon grid across four context lengths and four prediction horizons. The hybrid system retrieves analogous historical windows from an indexed memory and blends the retrieved continuation with the Lag-Llama forecast while preserving the same forecasting backbone. In the same-backbone return validation, at least one retrieval variant reduces Lag-Llama MSE in all 48 configurations, with aggregate lower-error retrieval MSE reductions of 28.85\% for IDX7, 27.27\% for US7, and 33.60\% for JP7. A second OHLCV-derived stock-feature experiment evaluates log-price, log-volume, range-volatility, and 20-day realized-volatility targets across 72 matched configurations. In that experiment, validation-selected RAF reduces MSE relative to Lag-Llama-only in 68 of 72 configurations and records the lowest MSE among the compared systems in 22 configurations, including 17 of 18 non-log-price US7 settings. A mechanism-level single-series ablation further compares Lag-Llama-only against Lag-Llama + RAF under zero-shot and scheduler-based inference, showing that retrieval effects are horizon-sensitive. The results indicate that retrieval can serve as an external-memory correction for Lag-Llama under selected equity targets, especially when volatility or volume structure provides reusable historical analogs.","['Novanto Yudistira', 'Yanuar Putra Kharisma Adhiyasa']",[],,2021-07-10,2026-07-10T18:10:19Z,https://doi.org/10.21203/rs.3.rs-10178277/v1,,,1903,"Novanto Yudistira, Yanuar Putra Kharisma Adhiyasa",,1961,"Title: Retrieval-Augmented Large-Language-Model-Based Time-Series Forecasting for Cross-Market Equity Analysis
Authors: Novanto Yudistira, Yanuar Putra Kharisma Adhiyasa
Published: 2021-07-10
Categories: 
Summary: Abstract
                Time-series foundation models and retrieval-based augmentation have recently emerged as relevant tools for financial forecasting, yet it remains unclear when explicit historical retrieval helps a pre-trained probabilistic forecaster in noisy equity settings. This study evaluates that question through Cross-Market Retrieval-Augmented Lag-Llama (CM-RAF-Lag-Llama), a controlled framework for comparing Lag-Llama-only forecasts with retrieval-augmented forecasts across emerging and developed market panels. The main validation uses three balanced seven-asset panels, IDX7, US7, and JP7, producing a 48-configuration panel-context-horizon grid across four context lengths and four prediction horizons. The hybrid system retrieves analogous historical windows from an indexed memory and blends the retrieved continuation with the Lag-Llama forecast while preserving the same forecasting backbone. In the same-backbone return validation, at least one retrieval variant reduces Lag-Llama MSE in all 48 configurations, with aggregate lower-error retrieval MSE reductions of 28.85\% for IDX7, 27.27\% for US7, and 33.60\% for JP7. A second OHLCV-derived stock-feature experiment evaluates log-price, log-volume, range-volatility, and 20-day realized-volatility targets across 72 matched configurations. In that experiment, validation-selected RAF reduces MSE relative to Lag-Llama-only in 68 of 72 configurations and records the lowest MSE among the compared systems in 22 configurations, including 17 of 18 non-log-price US7 settings. A mechanism-level single-series ablation further compares Lag-Llama-only against Lag-Llama + RAF under zero-shot and scheduler-based inference, showing that retrieval effects are horizon-sensitive. The results indicate that retrieval can serve as an external-memory correction for Lag-Llama under selected equity targets, especially when volatility or volume structure provides reusable historical analogs. [NOISE::###@@@%%%]"
10.2196/preprints.106157,Does ret,"BACKGROUND
                  There is evidence of rapid adoption of large language models (LLMs) in undergraduate medical education, with medical students using it to support their learning. This raises concerns particularly around the accuracy of LLM-generated information students are learning. Retrieval-augmented generation (RAG), which grounds a LLM in curated materials, may be a strategy to improve their accuracy.
                
                
                  OBJECTIVE
                  This study investigates if grounding LLM outputs in verifiable sources using RAG impacts trust and perceived usability amongst medical students.
                
                
                  METHODS
                  In a four-month qualitative study, second-year medical students at Bristol Medical School used a RAG-enabled LLM (NotebookLM) to help them learn course content. Following this, their perspectives were explored using a focus group and survey was. Qualitative data was analysed using thematic analysis and was supplemented by Likert scale data.
                
                
                  RESULTS
                  RAG-based LLMs were perceived as more reliable than standard LLM responses mainly due to the transparency of and control over information sources. The system functioned as an accessible, on-demand learning resource, improving efficiency and supporting self-directed study. Students continued to use strategies to cross check generated information. They demonstrated some awareness of ethical concerns, mostly around the environmental impact of LLMs and data privacy.
                
                
                  CONCLUSIONS
                  These findings suggest that RAG may enhance students’ trust in LLM outputs while maintaining their benefit as a flexible ‘study partner’. It highlights RAG as a strategy that educators can use to support students who use LLMs in the context of increasing. However, the impact of RAG-based LLMs over a longer period and on learning outcomes requires further evaluation.","['Rohin Athavale', 'Alexander Cresswell', 'Alice Huffman']",[],,2021-07-03,2026-07-06T03:55:08Z,https://doi.org/10.2196/preprints.106157,,,1910,"Rohin Athavale, Alexander Cresswell, Alice Huffman",,2063,"Title: Does ret
Authors: Rohin Athavale, Alexander Cresswell, Alice Huffman
Published: 2021-07-03
Categories: 
Summary: BACKGROUND
                  There is evidence of rapid adoption of large language models (LLMs) in undergraduate medical education, with medical students using it to support their learning. This raises concerns particularly around the accuracy of LLM-generated information students are learning. Retrieval-augmented generation (RAG), which grounds a LLM in curated materials, may be a strategy to improve their accuracy.
                
                
                  OBJECTIVE
                  This study investigates if grounding LLM outputs in verifiable sources using RAG impacts trust and perceived usability amongst medical students.
                
                
                  METHODS
                  In a four-month qualitative study, second-year medical students at Bristol Medical School used a RAG-enabled LLM (NotebookLM) to help them learn course content. Following this, their perspectives were explored using a focus group and survey was. Qualitative data was analysed using thematic analysis and was supplemented by Likert scale data.
                
                
                  RESULTS
                  RAG-based LLMs were perceived as more reliable than standard LLM responses mainly due to the transparency of and control over information sources. The system functioned as an accessible, on-demand learning resource, improving efficiency and supporting self-directed study. Students continued to use strategies to cross check generated information. They demonstrated some awareness of ethical concerns, mostly around the environmental impact of LLMs and data privacy.
                
                
                  CONCLUSIONS
                  These findings suggest that RAG may enhance students’ trust in LLM outputs while maintaining their benefit as a flexible ‘study partner’. It highlights RAG as a strategy that educators can use to support students who use LLMs in the context of increasing. However, the impact of RAG-based LLMs over a longer period and on learning outcomes requires further evaluation."
10.3390/buildings16132637,An Agent,"Designers, engineers, and building officials face increasing pressure to accelerate and improve the accuracy of design review for buildings and infrastructure. Roof assemblies and rooftop structures are particularly challenging due to the complexity and fragmentation of regulatory requirements, especially in jurisdictions such as Florida, where compliance must be verified across both the residential and commercial volumes of the Florida Building Code (FBC). The resulting review process is technically demanding and time-intensive, imposing significant cognitive and operational burdens on practitioners and under-resourced public agencies. To address these challenges, this study proposes and evaluates an agentic artificial intelligence (AI) framework for automated code compliance checking of roof assemblies and rooftop structures. The framework employs a multi-agent architecture in which specialized AI agents collaboratively interpret regulatory provisions and evaluate roof design parameters across four core modules: data preprocessing and code ingestion, rule-based and semantic analysis, results visualization, and iterative validation. YOLO11m-seg and Mask R-CNN were used for element detection and segmentation, and the system was developed using 150 design projects, including roof plans, section details, and specifications. Four large language models from two families (Mistral and GPT) were comparatively evaluated on standardized compliance tasks. The framework was then tested on a held-out portfolio of 15 distinct roof-design projects comprising 60 code-compliance decisions derived from the FBC 2023, with performance measured by precision, recall, F1-score, and accuracy. GPT-5.4 achieved the highest overall performance (F1 = 0.97; accuracy = 97%). Because the reasoning and vision components were evaluated separately rather than as an integrated end-to-end pipeline, and the scope was limited to one jurisdiction and two drawing types, broader code coverage and production-setting validation are needed before claims of generality. Nonetheless, the results suggest that agentic AI can meaningfully support compliance review and reduce reviewer burden in roof-design permitting.","['Nawari O. Nawari', 'Oluwatoyin O. Lawal']",[],,2026-07-02,2026-07-02T10:04:44Z,https://doi.org/10.3390/buildings16132637,,,85,"Nawari O. Nawari, Oluwatoyin O. Lawal",,2207,"Title: An Agent
Authors: Nawari O. Nawari, Oluwatoyin O. Lawal
Published: 2026-07-02
Categories: 
Summary: Designers, engineers, and building officials face increasing pressure to accelerate and improve the accuracy of design review for buildings and infrastructure. Roof assemblies and rooftop structures are particularly challenging due to the complexity and fragmentation of regulatory requirements, especially in jurisdictions such as Florida, where compliance must be verified across both the residential and commercial volumes of the Florida Building Code (FBC). The resulting review process is technically demanding and time-intensive, imposing significant cognitive and operational burdens on practitioners and under-resourced public agencies. To address these challenges, this study proposes and evaluates an agentic artificial intelligence (AI) framework for automated code compliance checking of roof assemblies and rooftop structures. The framework employs a multi-agent architecture in which specialized AI agents collaboratively interpret regulatory provisions and evaluate roof design parameters across four core modules: data preprocessing and code ingestion, rule-based and semantic analysis, results visualization, and iterative validation. YOLO11m-seg and Mask R-CNN were used for element detection and segmentation, and the system was developed using 150 design projects, including roof plans, section details, and specifications. Four large language models from two families (Mistral and GPT) were comparatively evaluated on standardized compliance tasks. The framework was then tested on a held-out portfolio of 15 distinct roof-design projects comprising 60 code-compliance decisions derived from the FBC 2023, with performance measured by precision, recall, F1-score, and accuracy. GPT-5.4 achieved the highest overall performance (F1 = 0.97; accuracy = 97%). Because the reasoning and vision components were evaluated separately rather than as an integrated end-to-end pipeline, and the scope was limited to one jurisdiction and two drawing types, broader code coverage and production-setting validation are needed before claims of generality. Nonetheless, the results suggest that agentic AI can meaningfully support compliance review and reduce reviewer burden in roof-design permitting."
